4C 89 4C 24 20 4C 89 44 24 18 89 54 24 10 48 89
4C 24 08 56 57 48 81 EC 98 00 00 00 B8 08 00 00
00 48 6B C0 00 B9 0A 00 00 00 48 8B 94 24 D0 00
00 00 FF 14 02 48 8B 8C 24 C0 00 00 00 48 89 01
48 8B 84 24 C0 00 00 00 48 8B 00 C6 00 30 48 8B
84 24 C0 00 00 00 48 8B 00 C6 40 01 66 48 8B 84
24 C0 00 00 00 48 8B 00 C6 40 02 61 48 8B 84 24
C0 00 00 00 48 8B 00 C6 40 03 69 48 8B 84 24 C0
00 00 00 48 8B 00 C6 40 04 6C 48 8B 84 24 C0 00
00 00 48 8B 00 C6 40 05 65 48 8B 84 24 C0 00 00
00 48 8B 00 C6 40 06 64 48 8B 84 24 C8 00 00 00
C7 00 07 00 00 00 B8 08 00 00 00 48 6B C0 1B 48
8B 8C 24 D0 00 00 00 48 8B 04 01 48 8D 4C 24 58
48 8B F9 48 8B F0 B9 10 00 00 00 F3 A4 C7 44 24
40 00 00 00 00 EB 0A 8B 44 24 40 FF C0 89 44 24
40 81 7C 24 40 00 04 00 00 7D 21 48 63 44 24 40
48 8B 4C 24 58 0F B6 04 01 33 44 24 64 48 63 4C
24 40 48 8B 54 24 58 88 04 0A EB CB B8 08 00 00
00 48 6B C0 04 41 B8 0A 00 00 00 48 8D 94 24 88
00 00 00 48 8B 8C 24 B0 00 00 00 48 8B BC 24 D0
00 00 00 FF 14 07 89 44 24 68 B8 08 00 00 00 48
6B C0 1C 44 8B 44 24 68 33 D2 B9 FF FF 1F 00 48
8B BC 24 D0 00 00 00 FF 14 07 48 89 44 24 50 48
83 7C 24 50 00 75 13 48 8B 84 24 C0 00 00 00 48
8B 00 C6 00 31 E9 18 02 00 00 48 63 44 24 60 B9
08 00 00 00 48 6B C9 1D 48 89 4C 24 70 C7 44 24
20 04 00 00 00 41 B9 00 10 00 00 4C 8B C0 33 D2
48 8B 4C 24 50 48 8B 84 24 D0 00 00 00 48 8B 7C
24 70 FF 14 38 48 89 44 24 48 48 83 7C 24 48 00
75 13 48 8B 84 24 C0 00 00 00 48 8B 00 C6 00 32
E9 BD 01 00 00 48 63 44 24 60 B9 08 00 00 00 48
6B C9 1F 48 89 4C 24 78 48 C7 44 24 20 00 00 00
00 4C 8B C8 4C 8B 44 24 58 48 8B 54 24 48 48 8B
4C 24 50 48 8B 84 24 D0 00 00 00 48 8B 7C 24 78
FF 14 38 85 C0 75 13 48 8B 84 24 C0 00 00 00 48
8B 00 C6 00 33 E9 68 01 00 00 48 63 44 24 60 B9
08 00 00 00 48 6B C9 1E 48 89 8C 24 80 00 00 00
48 8D 54 24 6C 48 89 54 24 20 41 B9 20 00 00 00
4C 8B C0 48 8B 54 24 48 48 8B 4C 24 50 48 8B 84
24 D0 00 00 00 48 8B BC 24 80 00 00 00 FF 14 38
85 C0 75 13 48 8B 84 24 C0 00 00 00 48 8B 00 C6
00 34 E9 0B 01 00 00 B8 08 00 00 00 48 6B C0 20
48 C7 44 24 30 00 00 00 00 C7 44 24 28 00 00 00
00 48 8B 4C 24 48 48 89 4C 24 20 4C 8B 4C 24 48
45 33 C0 33 D2 48 8B 4C 24 50 48 8B BC 24 D0 00
00 00 FF 14 07 48 85 C0 75 13 48 8B 84 24 C0 00
00 00 48 8B 00 C6 00 36 E9 B5 00 00 00 C7 44 24
44 00 00 00 00 EB 0A 8B 44 24 44 FF C0 89 44 24
44 81 7C 24 44 00 04 00 00 7D 21 48 63 44 24 44
48 8B 4C 24 58 0F B6 04 01 33 44 24 64 48 63 4C
24 44 48 8B 54 24 58 88 04 0A EB CB 48 8B 84 24
C0 00 00 00 48 8B 00 C6 00 73 48 8B 84 24 C0 00
00 00 48 8B 00 C6 40 01 75 48 8B 84 24 C0 00 00
00 48 8B 00 C6 40 02 63 48 8B 84 24 C0 00 00 00
48 8B 00 C6 40 03 63 48 8B 84 24 C0 00 00 00 48
8B 00 C6 40 04 65 48 8B 84 24 C0 00 00 00 48 8B
00 C6 40 05 73 48 8B 84 24 C0 00 00 00 48 8B 00
C6 40 06 73 48 8B 84 24 C8 00 00 00 C7 00 07 00
00 00 48 81 C4 98 00 00 00 5F 5E C3 
